RUA GETÚLIO VARGAS,Inundação,54.74,1
TRAVESSA  SÃO BENTO,Inundação,52.84,1
VILA JORGE CERQUEIRA,Inundação,51.79,1
ESCADA SEM DENOMINACAO,Inundação,51.05,1
RUA ALICE MARIA DE ALMEIDA,Inundação,48.71,1
RUA SÃO DIMAS,Inundação,48.69,1
VIADUTO MISAEL FERREIRA VARELLA,Inundação,44.3,1
ALAMEDA SÃO JOSÉ,Inundação,43.0,1
RUA NADYR AGUIAR TURETA,Inundação,41.28,1
PONTE DO NAPOLEAO,Inundação,40.33,1
RUA SOUZA CASTRO,Inundação,39.58,1
PRAÇA CRISTIANO VARELLA,Inundação,36.43,1
RUA VINTE E CINCO DE DEZEMBRO,Inundação,32.26,1
RUA DOUTOR NEWTON REZENDE,Inundação,31.89,1
TRAVESSA ALAOR NUNES,Inundação,30.74,1
VILA KATIA,Inundação,29.36,1
RUA  FRANCISCO  JOSÉ PORTILHO,Inundação,28.47,1
RUA THEOPHILO TOSTES,Inundação,24.91,1
RUA ZILDA DE ALMEIDA,Inundação,24.45,1
RUA MARIA PACHECO,Inundação,24.24,1
AVENIDA ANTÔNIO TURETTA,Inundação,19.22,1
TREVO DE ACESSO A BR-356,Inundação,18.19,1
RUA FRANCISCO NAVARRO CARRETEIRO,Inundação,16.76,1
RUA FRANCISCO NAVARRO CARRETEIRO,Inundação,15.85,1
AVENIDA ANTÔNIO TURETA,Inundação,15.83,1
TRAVESSA JOAQUIM CASSIANO FILHO,Inundação,15.25,1
RUA PEDRO MUGLIA,Inundação,14.42,1
RUA PRESIDENTE GETÚLIO VARGAS,Inundação,13.69,1
AVENIDA PRESIDENTE ARTHUR BERNARDES,Inundação,13.39,1
TRAVESSA ABEL MEIRELES,Inundação,11.93,1
RUA  PREFEITO  FRANCISCO  TEODORO  FILHO,Inundação,10.72,1
TREVO DA BR-356 E BR-116,Inundação,8.91,1
RUA ALOISIO CARVALHO RIBEIRO,Inundação,8.64,1
RUA DA CACHOEIRA,Inundação,7.57,1
RUA PASCHOAL DEMARQUE,Inundação,4.63,1
TRAVESSA NAPOLEÃO FREDERICO DE ALMEIDA,Inundação,4.44,1
AVENIDA MÁRIO DE OLIVEIRA CARVALHO,Inundação,3.82,1
RUA WILSON ARAÚJO,Inundação,3.77,1
RUA VANESSA TURETA,Inundação,2.37,1
AVENIDA SERAFIM AUGUSTINI DE FREITAS,Inundação,1.2,1
RUA  PADRE MAXIMINO BENASSATI,Inundação,1.2,1
